-357,-450,0,1696794714.8976264
-357,-450,0,1696794714.9576726
-357,-450,0,1696794715.0195367
-357,-450,0,1696794715.079639
-357,-450,0,1696794715.1478763
-357,-450,0,1696794715.21993
-357,-450,0,1696794715.2877054
-357,-450,0,1696794715.3548126
-357,-450,0,1696794715.426284
-357,-450,0,1696794715.4930496
-357,-450,0,1696794715.562366
-357,-450,0,1696794715.6291432
-357,-450,0,1696794715.6960523
-357,-450,0,1696794715.7661493
-357,-450,0,1696794715.8354058
-357,-450,0,1696794715.903829
-357,-450,0,1696794715.9736812
-357,-450,0,1696794716.0405056
-357,-450,0,1696794716.1079552
-357,-450,0,1696794716.1771822
-357,-450,0,1696794716.2437475
-357,-450,0,1696794716.3112352
-357,-450,0,1696794716.3770566
-357,-450,0,1696794716.4443216
-357,-450,0,1696794716.5124185
-357,-450,0,1696794716.5799682
-357,-450,0,1696794716.6479137
-357,-450,0,1696794716.715058
-357,-450,0,1696794716.7837272
-357,-450,0,1696794716.8508518
-357,-450,0,1696794716.9215794
-357,-450,0,1696794716.9892275
-357,-450,0,1696794717.0579808
-357,-450,0,1696794717.1327455
-357,-450,0,1696794717.220562
-357,-450,0,1696794717.2883935
-357,-450,0,1696794717.3593974
-357,-450,0,1696794717.427435
-357,-450,0,1696794717.4953084
-357,-450,0,1696794717.5656881
-357,-450,0,1696794717.632766
-357,-450,0,1696794717.7025151
-360,454,0,1696794717.7727787
-363,-450,0,1696794717.8425615
-369,-450,0,1696794717.9124782
-380,-451,0,1696794717.982994
-384,-451,0,1696794718.0517986
-388,-452,0,1696794718.121527
-395,-452,0,1696794718.1897008
-397,-450,0,1696794718.258966
-400,-449,0,1696794718.3277247
-400,-447,0,1696794718.3953054
-399,-444,0,1696794718.464848
-393,-439,0,1696794718.5332348
-387,-437,0,1696794718.6010573
-376,433,0,1696794718.6693032
-368,-425,0,1696794718.737748
-356,-419,0,1696794718.8070881
-340,-408,0,1696794718.875545
-331,-402,0,1696794718.9433959
-320,-397,0,1696794719.0111008
-308,-383,0,1696794719.0798702
-304,-377,0,1696794719.147522
-304,-372,0,1696794719.215371
-312,-361,0,1696794719.2830932
-320,-354,0,1696794719.3512945
-332,-350,0,1696794719.418473
-356,-341,90,1696794719.4864542
-367,-339,-90,1696794719.5544705
-378,-334,90,1696794719.6261735
-390,-325,90,1696794719.6940749
-392,-320,-90,1696794719.7665293
-383,-306,-90,1696794719.8346148
-375,-298,90,1696794719.905172
-352,-278,-90,1696794719.9763188
-339,-271,-90,1696794720.0455804
-324,-262,-90,1696794720.1178916
-309,-236,-90,1696794720.1861567
-301,-222,-90,1696794720.2535768
-301,-191,90,1696794720.3233018
-305,-179,-90,1696794720.3827777
-311,-167,-90,1696794720.438053
-320,-152,90,1696794720.4935765
-326,-145,-90,1696794720.5525851
-333,-134,-90,1696794720.6119885
-341,-112,-90,1696794720.6703527
-341,-101,90,1696794720.7300098
-342,-95,-90,1696794720.7866573
-346,-78,-90,1696794720.8431077
-344,-72,90,1696794720.898577
-344,-56,-90,1696794720.9543288
-342,-52,90,1696794721.0109499
-340,-43,-90,1696794721.070862
-335,-17,-90,1696794721.1276176
-334,10,90,1696794721.1833744
-332,12,90,1696794721.2389448
-331,17,-90,1696794721.2963645
-324,25,-90,1696794721.3548877
-324,25,-90,1696794721.4132473
-321,32,-90,1696794721.4695506
-317,36,-90,1696794721.5267394
-316,40,-90,1696794721.5824492
-312,44,90,1696794721.6400232
-312,49,90,1696794721.6952467
-307,53,-90,1696794721.755127
-305,60,-90,1696794721.8272302
-300,68,-90,1696794721.8881438
-297,66,-90,1696794721.9446611
-294,76,-90,1696794722.0043242
-293,76,-90,1696794722.065283
-291,87,90,1696794722.1243799
-287,84,-90,1696794722.1802335
-145,0,90,1696794722.2396436
-282,95,90,1696794722.2997787
-2,4,-90,1696794722.372575
-3,0,0,1696794722.4369967
0,1,0,1696794722.5049915
-1,4,-90,1696794722.5721438
-3,1,90,1696794722.6423745
-1,1,-90,1696794722.7083647
-3,1,-90,1696794722.7766368
-1,1,90,1696794722.8418903
1,2,0,1696794722.9076958
-1,1,-90,1696794722.9752908
-1,0,90,1696794723.041936
-1,0,0,1696794723.107866
0,-3,0,1696794723.1758828
0,-3,0,1696794723.2400384
2,0,0,1696794723.3018613
0,-6,0,1696794723.3645518
0,-5,0,1696794723.4271166
0,1,0,1696794723.4900184
0,0,0,1696794723.5520346
2,-3,0,1696794723.6158094
1,-2,0,1696794723.6777086
2,-1,0,1696794723.7404332
-1,2,-90,1696794723.8025918
1,0,-90,1696794723.8659027
0,-5,0,1696794723.9285944
0,0,0,1696794723.991779
0,1,90,1696794724.0546758
-197,123,-90,1696794724.1197774
-191,122,-90,1696794724.181931
-194,-110,-90,1696794724.237769
0,1,-90,1696794724.2999914
-75,2,-89,1696794724.3578272
0,2,-90,1696794724.423731
-56,-2,-90,1696794724.4857728
-62,-2,-90,1696794724.5449667
0,0,90,1696794724.6063044
0,1,0,1696794724.6719003
-70,1,-90,1696794724.7331724
-76,0,-90,1696794724.792209
0,0,0,1696794724.8541434
1,-8,0,1696794724.9162424
0,-7,0,1696794724.97735
-1,0,0,1696794725.0400586
-87,0,-90,1696794725.098046
-80,1,-90,1696794725.156223
-60,1,-90,1696794725.2143934
-37,-9,-90,1696794725.2735202
-59,-4,90,1696794725.3335476
-47,-3,-90,1696794725.3934462
-48,1,-90,1696794725.4524405
-65,0,-90,1696794725.5128698
-63,0,-90,1696794725.5732362
-50,0,-90,1696794725.6335793
-84,-1,90,1696794725.6940475
-81,-1,-90,1696794725.752676
-80,-7,-90,1696794725.8115935
-70,-1,-90,1696794725.8752465
-48,-10,-90,1696794725.939787
-48,-3,-90,1696794726.0057502
-45,0,-90,1696794726.0719798
-77,2,-90,1696794726.1307893
-41,2,-90,1696794726.1905231
-41,0,-90,1696794726.2505646
-34,0,-90,1696794726.3119578
-85,3,90,1696794726.372991
-40,1,-90,1696794726.4340775
-40,0,-90,1696794726.495379
-63,2,-90,1696794726.5565295
-62,2,-90,1696794726.6176183
-34,0,-90,1696794726.6760507
-34,0,-90,1696794726.7397327
-62,2,90,1696794726.7986462
-62,1,-90,1696794726.8573427
-38,-1,-90,1696794726.9162626
-38,0,-90,1696794726.9764397
-56,3,90,1696794727.6373951
-357,-450,0,1696794790.753919
-357,-450,0,1696794790.814405
-357,-450,0,1696794790.874724
-357,-450,0,1696794790.9307086
-357,-450,0,1696794790.986777
-357,-450,0,1696794791.0421114
-357,-450,0,1696794791.0974824
-357,-450,0,1696794791.153189
-357,-450,0,1696794791.208558
-357,-450,0,1696794791.2659142
-357,-450,0,1696794791.3245363
-357,-450,0,1696794791.379748
-357,-450,0,1696794791.4369023
-357,-450,0,1696794791.492579
-357,-450,0,1696794791.5497348
-357,-450,0,1696794791.6068964
-357,-450,0,1696794791.664239
-357,-450,0,1696794791.7219286
-357,-450,0,1696794791.777625
